course_id,course_code,course_name,department_id,course_type,course_category,credits,weekly_hours,sessions_per_week,session_duration,requires_lab,required_room_type,min_room_capacity,equipment_required
C001,MAT101,Engineering Mathematics I,D05,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C002,PHY101,Engineering Physics,D05,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C003,CHE101,Engineering Chemistry,D05,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C004,COM101,Communication Skills,D05,THEORY,CORE,2,2,2,1,False,CLASSROOM,50,PROJECTOR
C005,PROG101,Programming Fundamentals,D01,THEORY,CORE,4,4,4,1,False,COMPUTER_LAB,50,COMPUTERS
C006,PHYLAB101,Physics Lab,D05,LAB,CORE,1,2,1,2,True,PHYSICS_LAB,30,PHYSICS_EQUIPMENT
C007,ENG101,Engineering Graphics,D05,WORKSHOP,CORE,2,2,1,2,True,WORKSHOP,30,DRAWING_BOARDS
C008,MAT201,Engineering Mathematics III,D05,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C009,ENV201,Environmental Studies,D05,THEORY,CORE,2,2,2,1,False,CLASSROOM,50,
C010,CSE201,Data Structures,D01,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C011,CSE202,Object Oriented Programming,D01,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C012,CSE203,Digital Logic,D01,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C013,CSE204,OOP Lab,D01,LAB,CORE,1,2,1,2,True,COMPUTER_LAB,30,COMPUTERS
C014,CSE301,Database Management Systems,D01,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C015,CSE302,Operating Systems,D01,THEORY,CORE,4,4,4,1,False,CLASSROOM,50,
C016,CSE303,Computer Networks,D01,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C017,CSE304,DBMS Lab,D01,LAB,CORE,1,2,1,2,True,COMPUTER_LAB,30,DATABASE_SYSTEMS
C018,CSE401,Software Engineering,D01,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C019,CSE402,Compiler Design,D01,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
C020,CSE403,Distributed Systems,D01,THEORY,CORE,3,3,3,1,False,CLASSROOM,50,
